dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
birds	proba__1	2.52 (0.06)	0.1 (0.0)	0.0 (0.0)	1.99 (0.05)	0.1 (0.0)	0.0 (0.0)	0.54 (0.02)	0.1 (0.0)	0.0 (0.0)	0.56 (0.03)	0.63 (0.27)	0.0 (0.0)	0.27 (0.04)	0.48 (0.29)	0.0 (0.0)	0.44 (0.04)	0.35 (0.3)	0.0 (0.0)	0.16 (0.03)	0.38 (0.36)	0.2 (0.45)	0.38 (0.04)	0.4 (0.31)	0.0 (0.0)	0.19 (0.03)	0.5 (0.31)	0.0 (0.0)	0.28 (0.04)	0.35 (0.3)	0.0 (0.0)	0.14 (0.03)	0.4 (0.35)	0.2 (0.45)	0.28 (0.04)	0.48 (0.29)	0.0 (0.0)	0.55 (0.09)	0.58 (0.27)	0.0 (0.0)	0.85 (0.05)	0.75 (0.27)	0.2 (0.45)	0.21 (0.03)	0.32 (0.24)	0.0 (0.0)	0.67 (0.1)	0.64 (0.3)	0.0 (0.0)	0.2 (0.03)	0.44 (0.3)	0.0 (0.0)	0.3 (0.04)	0.34 (0.27)	0.0 (0.0)	0.14 (0.03)	0.36 (0.36)	0.2 (0.45)	0.3 (0.04)	0.34 (0.27)	0.0 (0.0)
birds	proba__10	11.26 (0.33)	0.9 (0.0)	0.0 (0.0)	9.32 (0.25)	0.9 (0.0)	0.0 (0.0)	1.94 (0.12)	1.0 (0.0)	1.0 (0.0)	0.56 (0.01)	0.48 (0.15)	0.0 (0.0)	0.26 (0.04)	0.4 (0.31)	0.0 (0.0)	0.45 (0.03)	0.48 (0.29)	0.0 (0.0)	0.18 (0.02)	0.5 (0.35)	0.0 (0.0)	0.38 (0.03)	0.44 (0.32)	0.0 (0.0)	0.19 (0.03)	0.38 (0.33)	0.0 (0.0)	0.29 (0.03)	0.48 (0.29)	0.0 (0.0)	0.15 (0.02)	0.5 (0.31)	0.0 (0.0)	0.28 (0.02)	0.46 (0.29)	0.0 (0.0)	0.46 (0.06)	0.36 (0.29)	0.0 (0.0)	0.81 (0.04)	0.46 (0.23)	0.0 (0.0)	0.23 (0.03)	0.54 (0.4)	0.2 (0.45)	0.59 (0.05)	0.32 (0.27)	0.0 (0.0)	0.21 (0.03)	0.42 (0.31)	0.0 (0.0)	0.32 (0.04)	0.48 (0.29)	0.0 (0.0)	0.16 (0.02)	0.48 (0.27)	0.0 (0.0)	0.32 (0.04)	0.48 (0.29)	0.0 (0.0)
birds	proba__2	3.47 (0.06)	0.2 (0.0)	0.0 (0.0)	2.77 (0.04)	0.2 (0.0)	0.0 (0.0)	0.7 (0.02)	0.2 (0.0)	0.0 (0.0)	0.57 (0.02)	0.72 (0.29)	0.0 (0.0)	0.31 (0.07)	0.56 (0.36)	0.2 (0.45)	0.48 (0.06)	0.58 (0.38)	0.2 (0.45)	0.18 (0.03)	0.58 (0.29)	0.2 (0.45)	0.42 (0.06)	0.58 (0.41)	0.4 (0.55)	0.22 (0.05)	0.58 (0.34)	0.2 (0.45)	0.32 (0.05)	0.59 (0.37)	0.2 (0.45)	0.16 (0.03)	0.58 (0.34)	0.2 (0.45)	0.31 (0.05)	0.58 (0.38)	0.2 (0.45)	0.59 (0.11)	0.58 (0.3)	0.2 (0.45)	0.85 (0.03)	0.7 (0.24)	0.2 (0.45)	0.23 (0.03)	0.59 (0.32)	0.0 (0.0)	0.68 (0.1)	0.62 (0.29)	0.2 (0.45)	0.24 (0.06)	0.54 (0.38)	0.2 (0.45)	0.34 (0.06)	0.55 (0.39)	0.2 (0.45)	0.16 (0.03)	0.58 (0.34)	0.2 (0.45)	0.34 (0.06)	0.55 (0.39)	0.2 (0.45)
birds	proba__3	4.45 (0.15)	0.3 (0.0)	0.0 (0.0)	3.62 (0.12)	0.3 (0.0)	0.0 (0.0)	0.83 (0.03)	0.3 (0.0)	0.0 (0.0)	0.56 (0.02)	0.45 (0.09)	0.0 (0.0)	0.29 (0.06)	0.5 (0.33)	0.2 (0.45)	0.46 (0.06)	0.48 (0.3)	0.2 (0.45)	0.18 (0.02)	0.48 (0.22)	0.0 (0.0)	0.4 (0.05)	0.48 (0.28)	0.0 (0.0)	0.21 (0.05)	0.44 (0.34)	0.2 (0.45)	0.3 (0.05)	0.47 (0.31)	0.2 (0.45)	0.15 (0.02)	0.48 (0.28)	0.0 (0.0)	0.29 (0.05)	0.42 (0.35)	0.2 (0.45)	0.6 (0.12)	0.78 (0.13)	0.2 (0.45)	0.83 (0.05)	0.55 (0.39)	0.2 (0.45)	0.22 (0.02)	0.46 (0.19)	0.0 (0.0)	0.7 (0.08)	0.74 (0.19)	0.2 (0.45)	0.22 (0.05)	0.48 (0.34)	0.2 (0.45)	0.32 (0.05)	0.44 (0.33)	0.2 (0.45)	0.16 (0.02)	0.5 (0.25)	0.0 (0.0)	0.32 (0.05)	0.44 (0.33)	0.2 (0.45)
birds	proba__4	5.37 (0.15)	0.4 (0.0)	0.0 (0.0)	4.4 (0.15)	0.4 (0.0)	0.0 (0.0)	0.97 (0.02)	0.4 (0.0)	0.0 (0.0)	0.56 (0.05)	0.58 (0.43)	0.2 (0.45)	0.28 (0.08)	0.62 (0.33)	0.0 (0.0)	0.46 (0.07)	0.69 (0.34)	0.0 (0.0)	0.18 (0.03)	0.64 (0.33)	0.0 (0.0)	0.39 (0.07)	0.66 (0.32)	0.0 (0.0)	0.2 (0.05)	0.68 (0.33)	0.0 (0.0)	0.3 (0.06)	0.69 (0.34)	0.0 (0.0)	0.16 (0.03)	0.6 (0.32)	0.0 (0.0)	0.29 (0.06)	0.68 (0.33)	0.0 (0.0)	0.52 (0.14)	0.48 (0.33)	0.0 (0.0)	0.82 (0.04)	0.6 (0.21)	0.0 (0.0)	0.23 (0.04)	0.7 (0.35)	0.2 (0.45)	0.63 (0.1)	0.5 (0.34)	0.0 (0.0)	0.22 (0.06)	0.62 (0.33)	0.0 (0.0)	0.33 (0.07)	0.72 (0.36)	0.2 (0.45)	0.16 (0.03)	0.6 (0.32)	0.0 (0.0)	0.33 (0.07)	0.72 (0.36)	0.2 (0.45)
birds	proba__5	6.35 (0.01)	0.5 (0.0)	0.0 (0.0)	5.18 (0.04)	0.5 (0.0)	0.0 (0.0)	1.18 (0.05)	0.52 (0.04)	0.0 (0.0)	0.56 (0.03)	0.66 (0.36)	0.2 (0.45)	0.29 (0.05)	0.7 (0.35)	0.2 (0.45)	0.48 (0.04)	0.64 (0.35)	0.4 (0.55)	0.18 (0.03)	0.66 (0.31)	0.2 (0.45)	0.4 (0.05)	0.66 (0.34)	0.4 (0.55)	0.21 (0.03)	0.66 (0.3)	0.2 (0.45)	0.31 (0.03)	0.64 (0.35)	0.4 (0.55)	0.16 (0.03)	0.64 (0.33)	0.2 (0.45)	0.3 (0.04)	0.64 (0.35)	0.4 (0.55)	0.54 (0.12)	0.7 (0.37)	0.2 (0.45)	0.82 (0.05)	0.52 (0.28)	0.0 (0.0)	0.23 (0.03)	0.68 (0.31)	0.4 (0.55)	0.63 (0.11)	0.62 (0.34)	0.2 (0.45)	0.23 (0.04)	0.74 (0.33)	0.4 (0.55)	0.34 (0.04)	0.63 (0.38)	0.4 (0.55)	0.16 (0.03)	0.62 (0.37)	0.2 (0.45)	0.34 (0.04)	0.63 (0.38)	0.4 (0.55)
birds	proba__6	7.4 (0.19)	0.6 (0.0)	0.0 (0.0)	6.07 (0.14)	0.6 (0.0)	0.0 (0.0)	1.33 (0.08)	0.58 (0.04)	0.0 (0.0)	0.55 (0.02)	0.37 (0.26)	0.0 (0.0)	0.29 (0.03)	0.7 (0.21)	0.2 (0.45)	0.47 (0.01)	0.68 (0.04)	0.0 (0.0)	0.18 (0.02)	0.56 (0.18)	0.0 (0.0)	0.4 (0.02)	0.74 (0.15)	0.2 (0.45)	0.21 (0.02)	0.66 (0.19)	0.2 (0.45)	0.31 (0.01)	0.68 (0.04)	0.0 (0.0)	0.16 (0.02)	0.55 (0.24)	0.0 (0.0)	0.3 (0.01)	0.66 (0.11)	0.0 (0.0)	0.57 (0.13)	0.66 (0.34)	0.4 (0.55)	0.8 (0.05)	0.44 (0.31)	0.0 (0.0)	0.23 (0.01)	0.52 (0.15)	0.0 (0.0)	0.65 (0.1)	0.64 (0.36)	0.4 (0.55)	0.23 (0.01)	0.68 (0.22)	0.2 (0.45)	0.34 (0.01)	0.67 (0.11)	0.0 (0.0)	0.16 (0.02)	0.61 (0.26)	0.0 (0.0)	0.34 (0.01)	0.67 (0.11)	0.0 (0.0)
birds	proba__7	8.34 (0.24)	0.7 (0.0)	0.0 (0.0)	6.88 (0.22)	0.7 (0.0)	0.0 (0.0)	1.46 (0.06)	0.7 (0.0)	0.0 (0.0)	0.55 (0.03)	0.47 (0.25)	0.0 (0.0)	0.28 (0.01)	0.58 (0.11)	0.0 (0.0)	0.47 (0.02)	0.64 (0.15)	0.0 (0.0)	0.18 (0.02)	0.64 (0.3)	0.2 (0.45)	0.39 (0.01)	0.58 (0.16)	0.0 (0.0)	0.2 (0.01)	0.58 (0.13)	0.0 (0.0)	0.31 (0.02)	0.64 (0.15)	0.0 (0.0)	0.15 (0.02)	0.63 (0.29)	0.2 (0.45)	0.29 (0.02)	0.6 (0.16)	0.0 (0.0)	0.5 (0.05)	0.44 (0.23)	0.0 (0.0)	0.8 (0.07)	0.52 (0.32)	0.0 (0.0)	0.23 (0.02)	0.66 (0.29)	0.2 (0.45)	0.59 (0.04)	0.36 (0.23)	0.0 (0.0)	0.22 (0.01)	0.58 (0.11)	0.0 (0.0)	0.33 (0.01)	0.62 (0.13)	0.0 (0.0)	0.16 (0.01)	0.62 (0.29)	0.2 (0.45)	0.33 (0.01)	0.62 (0.13)	0.0 (0.0)
birds	proba__8	40.08 (0.33)	1.0 (0.0)	1.0 (0.0)	38.48 (0.24)	1.0 (0.0)	1.0 (0.0)	1.6 (0.1)	0.82 (0.04)	0.0 (0.0)	0.57 (0.06)	0.74 (0.36)	0.2 (0.45)	0.28 (0.05)	0.58 (0.37)	0.2 (0.45)	0.48 (0.04)	0.62 (0.35)	0.2 (0.45)	0.18 (0.01)	0.6 (0.32)	0.2 (0.45)	0.4 (0.04)	0.62 (0.29)	0.0 (0.0)	0.21 (0.04)	0.6 (0.38)	0.2 (0.45)	0.32 (0.03)	0.62 (0.35)	0.2 (0.45)	0.16 (0.01)	0.66 (0.29)	0.2 (0.45)	0.3 (0.04)	0.64 (0.32)	0.2 (0.45)	0.53 (0.1)	0.5 (0.28)	0.0 (0.0)	0.84 (0.12)	0.66 (0.38)	0.4 (0.55)	0.23 (0.01)	0.57 (0.24)	0.0 (0.0)	0.65 (0.1)	0.56 (0.28)	0.0 (0.0)	0.22 (0.03)	0.58 (0.3)	0.0 (0.0)	0.34 (0.02)	0.66 (0.25)	0.0 (0.0)	0.16 (0.02)	0.66 (0.29)	0.2 (0.45)	0.34 (0.02)	0.66 (0.25)	0.0 (0.0)
birds	proba__9	10.31 (0.29)	0.8 (0.0)	0.0 (0.0)	8.54 (0.23)	0.8 (0.0)	0.0 (0.0)	1.78 (0.11)	0.88 (0.04)	0.0 (0.0)	0.55 (0.02)	0.4 (0.21)	0.0 (0.0)	0.26 (0.03)	0.38 (0.22)	0.0 (0.0)	0.44 (0.03)	0.34 (0.21)	0.0 (0.0)	0.17 (0.03)	0.46 (0.33)	0.0 (0.0)	0.37 (0.02)	0.34 (0.21)	0.0 (0.0)	0.18 (0.02)	0.42 (0.26)	0.0 (0.0)	0.28 (0.02)	0.34 (0.21)	0.0 (0.0)	0.15 (0.02)	0.46 (0.3)	0.0 (0.0)	0.27 (0.02)	0.34 (0.25)	0.0 (0.0)	0.48 (0.06)	0.42 (0.27)	0.0 (0.0)	0.78 (0.03)	0.3 (0.14)	0.0 (0.0)	0.22 (0.03)	0.46 (0.36)	0.0 (0.0)	0.6 (0.05)	0.5 (0.25)	0.0 (0.0)	0.21 (0.03)	0.42 (0.28)	0.0 (0.0)	0.31 (0.03)	0.39 (0.21)	0.0 (0.0)	0.16 (0.02)	0.47 (0.28)	0.0 (0.0)	0.31 (0.03)	0.39 (0.21)	0.0 (0.0)
emotions	proba__1	2.11 (0.09)	0.1 (0.0)	0.0 (0.0)	1.69 (0.05)	0.1 (0.0)	0.0 (0.0)	0.42 (0.04)	0.1 (0.0)	0.0 (0.0)	0.33 (0.02)	0.62 (0.24)	0.2 (0.45)	0.66 (0.01)	0.74 (0.26)	0.4 (0.55)	0.69 (0.01)	0.68 (0.15)	0.0 (0.0)	0.63 (0.02)	0.64 (0.23)	0.2 (0.45)	0.67 (0.01)	0.68 (0.2)	0.2 (0.45)	0.51 (0.01)	0.7 (0.19)	0.2 (0.45)	0.52 (0.01)	0.68 (0.15)	0.0 (0.0)	0.55 (0.02)	0.68 (0.22)	0.2 (0.45)	0.52 (0.01)	0.68 (0.15)	0.0 (0.0)	0.75 (0.02)	0.44 (0.34)	0.0 (0.0)	0.75 (0.02)	0.54 (0.29)	0.0 (0.0)	0.68 (0.03)	0.6 (0.19)	0.0 (0.0)	0.74 (0.02)	0.44 (0.34)	0.0 (0.0)	0.62 (0.01)	0.74 (0.23)	0.2 (0.45)	0.64 (0.01)	0.74 (0.21)	0.2 (0.45)	0.64 (0.03)	0.7 (0.24)	0.2 (0.45)	0.64 (0.01)	0.74 (0.21)	0.2 (0.45)
emotions	proba__10	11.46 (0.13)	1.0 (0.0)	1.0 (0.0)	9.74 (0.13)	1.0 (0.0)	1.0 (0.0)	1.72 (0.04)	1.0 (0.0)	1.0 (0.0)	0.3 (0.06)	0.38 (0.36)	0.2 (0.45)	0.62 (0.04)	0.34 (0.27)	0.0 (0.0)	0.65 (0.04)	0.32 (0.25)	0.0 (0.0)	0.58 (0.05)	0.38 (0.27)	0.0 (0.0)	0.63 (0.04)	0.34 (0.23)	0.0 (0.0)	0.47 (0.04)	0.32 (0.23)	0.0 (0.0)	0.49 (0.04)	0.32 (0.25)	0.0 (0.0)	0.51 (0.05)	0.34 (0.25)	0.0 (0.0)	0.48 (0.04)	0.32 (0.25)	0.0 (0.0)	0.76 (0.06)	0.54 (0.42)	0.2 (0.45)	0.74 (0.04)	0.44 (0.37)	0.2 (0.45)	0.64 (0.05)	0.38 (0.29)	0.0 (0.0)	0.76 (0.06)	0.56 (0.43)	0.2 (0.45)	0.57 (0.06)	0.36 (0.31)	0.0 (0.0)	0.59 (0.06)	0.34 (0.33)	0.0 (0.0)	0.58 (0.06)	0.38 (0.31)	0.0 (0.0)	0.59 (0.06)	0.34 (0.33)	0.0 (0.0)
emotions	proba__2	3.12 (0.02)	0.2 (0.0)	0.0 (0.0)	2.56 (0.01)	0.2 (0.0)	0.0 (0.0)	0.56 (0.01)	0.2 (0.0)	0.0 (0.0)	0.34 (0.04)	0.74 (0.24)	0.2 (0.45)	0.67 (0.05)	0.7 (0.37)	0.2 (0.45)	0.7 (0.04)	0.72 (0.41)	0.6 (0.55)	0.63 (0.05)	0.72 (0.33)	0.4 (0.55)	0.68 (0.05)	0.76 (0.36)	0.6 (0.55)	0.52 (0.06)	0.7 (0.37)	0.2 (0.45)	0.53 (0.05)	0.72 (0.41)	0.6 (0.55)	0.56 (0.05)	0.7 (0.32)	0.2 (0.45)	0.53 (0.05)	0.74 (0.34)	0.4 (0.55)	0.76 (0.04)	0.54 (0.29)	0.0 (0.0)	0.76 (0.02)	0.68 (0.24)	0.0 (0.0)	0.68 (0.05)	0.68 (0.31)	0.2 (0.45)	0.76 (0.03)	0.52 (0.29)	0.0 (0.0)	0.63 (0.06)	0.7 (0.39)	0.4 (0.55)	0.64 (0.06)	0.72 (0.36)	0.4 (0.55)	0.64 (0.06)	0.68 (0.38)	0.4 (0.55)	0.64 (0.06)	0.72 (0.36)	0.4 (0.55)
emotions	proba__3	4.17 (0.05)	0.3 (0.0)	0.0 (0.0)	3.47 (0.05)	0.3 (0.0)	0.0 (0.0)	0.71 (0.02)	0.3 (0.0)	0.0 (0.0)	0.34 (0.03)	0.7 (0.26)	0.2 (0.45)	0.65 (0.04)	0.62 (0.31)	0.2 (0.45)	0.69 (0.03)	0.66 (0.34)	0.2 (0.45)	0.63 (0.04)	0.62 (0.34)	0.0 (0.0)	0.66 (0.03)	0.64 (0.31)	0.0 (0.0)	0.51 (0.04)	0.66 (0.34)	0.2 (0.45)	0.52 (0.03)	0.65 (0.35)	0.2 (0.45)	0.56 (0.04)	0.7 (0.37)	0.4 (0.55)	0.52 (0.04)	0.66 (0.34)	0.2 (0.45)	0.76 (0.05)	0.48 (0.34)	0.2 (0.45)	0.75 (0.04)	0.48 (0.37)	0.2 (0.45)	0.68 (0.05)	0.6 (0.34)	0.2 (0.45)	0.75 (0.05)	0.48 (0.33)	0.2 (0.45)	0.61 (0.04)	0.66 (0.28)	0.2 (0.45)	0.63 (0.03)	0.68 (0.31)	0.2 (0.45)	0.63 (0.05)	0.62 (0.33)	0.2 (0.45)	0.63 (0.03)	0.68 (0.31)	0.2 (0.45)
emotions	proba__4	5.16 (0.13)	0.4 (0.0)	0.0 (0.0)	4.29 (0.09)	0.4 (0.0)	0.0 (0.0)	0.87 (0.03)	0.4 (0.0)	0.0 (0.0)	0.32 (0.02)	0.61 (0.21)	0.0 (0.0)	0.65 (0.01)	0.62 (0.28)	0.0 (0.0)	0.68 (0.01)	0.58 (0.31)	0.0 (0.0)	0.62 (0.02)	0.6 (0.17)	0.0 (0.0)	0.66 (0.01)	0.62 (0.28)	0.0 (0.0)	0.5 (0.02)	0.62 (0.34)	0.2 (0.45)	0.52 (0.01)	0.58 (0.31)	0.0 (0.0)	0.55 (0.01)	0.64 (0.13)	0.0 (0.0)	0.51 (0.01)	0.6 (0.31)	0.2 (0.45)	0.76 (0.02)	0.6 (0.19)	0.0 (0.0)	0.75 (0.02)	0.54 (0.32)	0.0 (0.0)	0.68 (0.01)	0.58 (0.25)	0.0 (0.0)	0.76 (0.01)	0.58 (0.27)	0.0 (0.0)	0.61 (0.03)	0.64 (0.3)	0.0 (0.0)	0.63 (0.02)	0.62 (0.31)	0.0 (0.0)	0.63 (0.03)	0.64 (0.23)	0.0 (0.0)	0.63 (0.02)	0.62 (0.31)	0.0 (0.0)
emotions	proba__5	6.21 (0.13)	0.5 (0.0)	0.0 (0.0)	5.19 (0.11)	0.5 (0.0)	0.0 (0.0)	1.02 (0.03)	0.5 (0.0)	0.0 (0.0)	0.32 (0.06)	0.5 (0.34)	0.0 (0.0)	0.64 (0.03)	0.56 (0.25)	0.0 (0.0)	0.68 (0.03)	0.58 (0.26)	0.0 (0.0)	0.61 (0.03)	0.56 (0.25)	0.0 (0.0)	0.66 (0.03)	0.58 (0.26)	0.0 (0.0)	0.49 (0.04)	0.56 (0.26)	0.0 (0.0)	0.51 (0.04)	0.58 (0.26)	0.0 (0.0)	0.54 (0.03)	0.56 (0.25)	0.0 (0.0)	0.51 (0.03)	0.58 (0.26)	0.0 (0.0)	0.76 (0.04)	0.52 (0.34)	0.2 (0.45)	0.75 (0.03)	0.41 (0.34)	0.2 (0.45)	0.67 (0.04)	0.58 (0.34)	0.2 (0.45)	0.76 (0.04)	0.54 (0.32)	0.2 (0.45)	0.6 (0.05)	0.56 (0.3)	0.0 (0.0)	0.62 (0.04)	0.56 (0.26)	0.0 (0.0)	0.62 (0.04)	0.6 (0.27)	0.0 (0.0)	0.62 (0.04)	0.56 (0.26)	0.0 (0.0)
emotions	proba__6	7.22 (0.14)	0.6 (0.0)	0.0 (0.0)	6.04 (0.11)	0.6 (0.0)	0.0 (0.0)	1.18 (0.04)	0.6 (0.0)	0.0 (0.0)	0.32 (0.03)	0.6 (0.33)	0.0 (0.0)	0.65 (0.02)	0.56 (0.3)	0.0 (0.0)	0.68 (0.02)	0.56 (0.26)	0.0 (0.0)	0.62 (0.03)	0.68 (0.27)	0.2 (0.45)	0.66 (0.02)	0.54 (0.3)	0.0 (0.0)	0.5 (0.03)	0.56 (0.26)	0.0 (0.0)	0.52 (0.03)	0.57 (0.24)	0.0 (0.0)	0.55 (0.03)	0.62 (0.34)	0.0 (0.0)	0.51 (0.02)	0.54 (0.3)	0.0 (0.0)	0.78 (0.04)	0.66 (0.26)	0.2 (0.45)	0.76 (0.02)	0.59 (0.28)	0.0 (0.0)	0.68 (0.03)	0.7 (0.25)	0.2 (0.45)	0.77 (0.03)	0.66 (0.27)	0.2 (0.45)	0.6 (0.03)	0.56 (0.23)	0.0 (0.0)	0.62 (0.03)	0.56 (0.23)	0.0 (0.0)	0.63 (0.04)	0.6 (0.28)	0.0 (0.0)	0.62 (0.03)	0.56 (0.23)	0.0 (0.0)
emotions	proba__7	8.25 (0.17)	0.7 (0.0)	0.0 (0.0)	6.95 (0.11)	0.7 (0.0)	0.0 (0.0)	1.3 (0.07)	0.7 (0.0)	0.0 (0.0)	0.32 (0.06)	0.5 (0.41)	0.2 (0.45)	0.65 (0.02)	0.58 (0.26)	0.0 (0.0)	0.68 (0.02)	0.59 (0.34)	0.0 (0.0)	0.61 (0.04)	0.64 (0.36)	0.2 (0.45)	0.66 (0.02)	0.58 (0.31)	0.0 (0.0)	0.5 (0.02)	0.58 (0.35)	0.2 (0.45)	0.52 (0.02)	0.59 (0.34)	0.0 (0.0)	0.54 (0.04)	0.58 (0.33)	0.2 (0.45)	0.51 (0.02)	0.58 (0.33)	0.0 (0.0)	0.77 (0.02)	0.68 (0.23)	0.0 (0.0)	0.75 (0.01)	0.66 (0.11)	0.0 (0.0)	0.67 (0.03)	0.62 (0.26)	0.0 (0.0)	0.76 (0.02)	0.68 (0.22)	0.0 (0.0)	0.6 (0.03)	0.54 (0.33)	0.2 (0.45)	0.62 (0.04)	0.56 (0.34)	0.2 (0.45)	0.62 (0.04)	0.56 (0.36)	0.2 (0.45)	0.62 (0.04)	0.56 (0.34)	0.2 (0.45)
emotions	proba__8	9.26 (0.16)	0.8 (0.0)	0.0 (0.0)	7.8 (0.09)	0.8 (0.0)	0.0 (0.0)	1.46 (0.08)	0.8 (0.0)	0.0 (0.0)	0.29 (0.02)	0.32 (0.16)	0.0 (0.0)	0.63 (0.04)	0.44 (0.35)	0.2 (0.45)	0.66 (0.03)	0.41 (0.31)	0.0 (0.0)	0.59 (0.03)	0.32 (0.33)	0.0 (0.0)	0.64 (0.04)	0.4 (0.37)	0.2 (0.45)	0.48 (0.04)	0.4 (0.31)	0.0 (0.0)	0.5 (0.04)	0.41 (0.31)	0.0 (0.0)	0.52 (0.03)	0.3 (0.29)	0.0 (0.0)	0.49 (0.04)	0.4 (0.35)	0.2 (0.45)	0.76 (0.03)	0.54 (0.34)	0.0 (0.0)	0.75 (0.03)	0.54 (0.38)	0.2 (0.45)	0.65 (0.04)	0.38 (0.37)	0.2 (0.45)	0.76 (0.03)	0.54 (0.29)	0.0 (0.0)	0.57 (0.04)	0.36 (0.24)	0.0 (0.0)	0.59 (0.04)	0.36 (0.23)	0.0 (0.0)	0.59 (0.03)	0.34 (0.25)	0.0 (0.0)	0.59 (0.04)	0.36 (0.23)	0.0 (0.0)
emotions	proba__9	10.33 (0.28)	0.9 (0.0)	0.0 (0.0)	8.74 (0.25)	0.9 (0.0)	0.0 (0.0)	1.6 (0.03)	0.9 (0.0)	0.0 (0.0)	0.32 (0.02)	0.53 (0.25)	0.0 (0.0)	0.63 (0.02)	0.34 (0.15)	0.0 (0.0)	0.66 (0.02)	0.4 (0.16)	0.0 (0.0)	0.59 (0.03)	0.34 (0.15)	0.0 (0.0)	0.64 (0.02)	0.36 (0.15)	0.0 (0.0)	0.48 (0.02)	0.4 (0.16)	0.0 (0.0)	0.5 (0.02)	0.4 (0.16)	0.0 (0.0)	0.52 (0.02)	0.38 (0.16)	0.0 (0.0)	0.49 (0.02)	0.4 (0.16)	0.0 (0.0)	0.76 (0.03)	0.5 (0.31)	0.2 (0.45)	0.75 (0.02)	0.62 (0.25)	0.2 (0.45)	0.64 (0.04)	0.38 (0.28)	0.0 (0.0)	0.75 (0.03)	0.5 (0.3)	0.2 (0.45)	0.58 (0.02)	0.38 (0.13)	0.0 (0.0)	0.6 (0.02)	0.36 (0.13)	0.0 (0.0)	0.6 (0.02)	0.38 (0.13)	0.0 (0.0)	0.6 (0.02)	0.36 (0.13)	0.0 (0.0)
enron	proba__1	4.24 (0.06)	0.1 (0.0)	0.0 (0.0)	3.29 (0.07)	0.1 (0.0)	0.0 (0.0)	0.95 (0.06)	0.1 (0.0)	0.0 (0.0)	0.12 (0.01)	0.94 (0.09)	0.6 (0.55)	0.2 (0.01)	0.8 (0.14)	0.2 (0.45)	0.55 (0.02)	0.6 (0.34)	0.2 (0.45)	0.53 (0.02)	0.8 (0.25)	0.4 (0.55)	0.49 (0.02)	0.66 (0.23)	0.2 (0.45)	0.14 (0.01)	0.74 (0.23)	0.2 (0.45)	0.38 (0.02)	0.6 (0.34)	0.2 (0.45)	0.42 (0.01)	0.78 (0.23)	0.2 (0.45)	0.37 (0.02)	0.66 (0.27)	0.2 (0.45)	0.34 (0.02)	0.66 (0.24)	0.0 (0.0)	0.69 (0.02)	0.64 (0.32)	0.0 (0.0)	0.68 (0.02)	0.8 (0.23)	0.2 (0.45)	0.61 (0.02)	0.62 (0.33)	0.2 (0.45)	0.16 (0.01)	0.72 (0.3)	0.2 (0.45)	0.46 (0.02)	0.5 (0.41)	0.2 (0.45)	0.48 (0.02)	0.7 (0.28)	0.4 (0.55)	0.46 (0.02)	0.5 (0.41)	0.2 (0.45)
